Маршрут,Оператор,Для чего подходит,Кто подает,Финансирование,Окно / статус на 29.04.2026,Проекты из реестра,Что подготовить первым,Источник,Дата проверки,План подачи с 1 июня 2026,Уверенность / что перепроверить
ФСИ Бизнес-Старт,Фонд содействия инновациям,Запуск бизнеса вокруг технологического результата после ранних этапов,Малое предприятие / команда по условиям программы,до 18 млн ₽ по линейке Старт; точные условия зависят от конкурса,при открытии: наличие окна 2026 требует ручной проверки; использовать только после подтверждения.,ТП-2026-001; ТП-2026-002; ТП-2026-003; ТП-2026-015; ТП-2026-022; ТП-2026-027,"Бизнес-модель, рынок, команда, MVP, план запуска продаж, юрлицо, финансовая модель.",https://www.fasie.ru/programs/programma-start/,29.04.2026,С июня проверить наличие окна; использовать только при подтверждении оператора.,Низкая/средняя; обязательно проверить действительность программы и условия 2026.
ФСИ Старт-НТИ / Развитие-НТИ,Фонд содействия инновациям / НТИ,"Проекты по рынкам НТИ, робототехнике, БАС, VR/AR, цифровой медицине",Физлицо или малое предприятие по условиям конкурса,грантовое финансирование по параметрам конкретного конкурса,при открытии: мониторить тематические окна ФСИ/НТИ и проверять гражданский сценарий проекта.,ТП-2026-014; ТП-2026-019; ТП-2026-006; ТП-2026-009; ТП-2026-013; ТП-2026-024; ТП-2026-027,"Привязка к рынку НТИ, технологическая новизна, пилот, индустриальный партнер, гражданское применение.",https://www.fasie.ru/,29.04.2026,С июня мониторить тематические окна НТИ и готовить гражданские сценарии.,Средняя; проверить открытие конкретного конкурса и ограничения по тематике.
Сколково - гранты участникам проекта,Фонд «Сколково»,"Технологические стартапы: ИИ, медтех, VR/AR, промышленные цифровые продукты",Юрлицо - участник проекта «Сколково»,"микрогранты, минигранты и гранты по правилам фонда","Актуально как маршрут: сначала статус участника Сколково, далее микрогранты/минигранты/гранты.",ТП-2026-006; ТП-2026-007; ТП-2026-025; ТП-2026-026; ТП-2026-027; ТП-2026-001; ТП-2026-002,"Заявка на статус, презентация, IP, рынок, команда, дорожная карта, подтверждение технологичности.",https://sk.ru/foundation/grants/,29.04.2026,С июня выбрать 2-3 проекта под статус Сколково и грантовый маршрут.,"Средняя; проверить условия 2026, требования к юрлицу и типу гранта."
Гранты Мэра Москвы / Добрый город,Правительство Москвы / Комитет общественных связей и молодежной политики,"Социальные проекты, инклюзия, занятость, поддержка людей с ОВЗ",НКО или партнерский НКО-контур,по условиям московского конкурса,при открытии / мониторинг: календарь 2026 проверить; нужен НКО-контур и московская аудитория.,ТП-2026-003; ТП-2026-007; ТП-2026-012; ТП-2026-024; ТП-2026-008; ТП-2026-013,"НКО-партнер, социальный эффект, московская аудитория, бюджет, письма поддержки, календарный план.",https://душевная.москва/,29.04.2026,С июня найти НКО-партнера и проверить ближайший городской конкурс.,"Средняя; подтвердить календарь, номинации и требования к НКО."
Минобрнауки - молодежные лаборатории / научные конкурсы,Минобрнауки России и подведомственные операторы,"Научные лаборатории, прикладные исследования, развитие исследовательской базы",Университет / научная группа,по конкурсной документации,при открытии: использовать для исследовательских проектов и лабораторного контура.,ТП-2026-005; ТП-2026-013; ТП-2026-007; ТП-2026-016,"Научная программа, руководитель, публикации, оборудование, кадровый план, подтверждение базы РГСУ.",https://minobrnauki.gov.ru/,29.04.2026,"С июня держать как стратегический научный маршрут, не как быстрый грант.",Средняя; проверить конкретные конкурсы и право РГСУ на участие.
Фонд НТИ / конкурсы и акселераторы НТИ,Платформа НТИ / Фонд НТИ,"Технологические проекты рынков НТИ, пилоты, акселерация и партнерства",Команда / юрлицо / университетский партнер по условиям отбора,"по условиям отбора; часто акселерация/партнерство, не классический грант","при открытии: подходит для БАС, робототехники, VR/AR, AI и цифрового производства.",ТП-2026-019; ТП-2026-014; ТП-2026-006; ТП-2026-009; ТП-2026-024; ТП-2026-027,"Технологическая дорожная карта, пилот, рынок НТИ, индустриальный партнер, команда.",https://nti.fund/,29.04.2026,С июня мониторить отборы и использовать для партнерского продвижения.,"Средняя; уточнить денежность поддержки, дедлайны и формат участия."
Акселератор Спринт,"ФРИИ / Минцифры, оператор программы по ИТ-акселерации",ИТ-продукты и цифровые сервисы с потенциалом масштабирования,Юрлицо / команда по условиям набора,акселерационная поддержка; условия финансирования уточнять,при открытии / акселерация: не классический грант; проверить наборы 2026.,ТП-2026-006; ТП-2026-025; ТП-2026-026; ТП-2026-027; ТП-2026-018; ТП-2026-007,"MVP, трекшн, описание продукта, команда, план продаж, гипотезы роста.",https://sprint.iidf.ru/,29.04.2026,С июня рассмотреть как быстрый упаковочный маршрут для AI/EdTech.,Средняя; проверить наборы 2026 и формат поддержки.
Нацпроект «Кадры» / образовательные субсидии и конкурсы,Федеральные/региональные операторы подготовки кадров,"Образовательные программы, ДПО, инженерные интенсивы, профориентация",РГСУ / образовательный партнер / консорциум,по условиям оператора,при открытии / субсидии: конкретного оператора и окно определить отдельно.,ТП-2026-008; ТП-2026-028; ТП-2026-019; ТП-2026-026; ТП-2026-027,"Программа, часы, целевые группы, работодатели/школы, смета, KPI, команда преподавателей.",https://trudvsem.ru/,29.04.2026,"С июня вести отдельным образовательным контуром, не смешивать с ФСИ.","Средняя; определить конкретного оператора, конкурс и окно."
Контрактный НИОКР / индустриальный заказчик,"Индустриальный, медицинский, музейный или ведомственный партнер","Проекты, где грант медленнее или невозможен: специнжиниринг, заказные изделия, пилоты",РГСУ / МИП / партнерская организация,по ТЗ и договору,Актуально как не грантовый маршрут; использовать для чувствительных и прикладных проектов.,ТП-2026-020; ТП-2026-015; ТП-2026-014; ТП-2026-021; ТП-2026-022; ТП-2026-023; ТП-2026-016; ТП-2026-024,"ТЗ, NDA при необходимости, смета, календарь, прототип, договор пилота, ответственный заказчик.",внутренний контур РГСУ / партнерские переговоры,29.04.2026,"С июня выделить отдельно от публичных грантов, чтобы не рисковать заявками и сроками.",Высокая как управленческий маршрут; не считать грантом в публичной воронке.
,,,,,,,,,,,
