ID,Название проекта,Направление,Ответственный,Стадия,Цель проекта,Целевая аудитория/заказчик,Текущий результат,Следующее действие,Маршрут финансирования,Ближайшее окно,Готовность пакета,Риски/блокеры,Нужное решение НТС,Материалы/ссылки,Дата обновления
ТП-2026-011,Персонализированные приемные гильзы и интерфейсы протезирования,Медицинские технологии,Ганьшин В.К.,Концепт,,,,Сформировать медицинское ТЗ и карту испытаний,ФСИ Старт-1; пилот МИК; Новатор Москвы,Новатор Москвы до 05.05.2026; Старт-1 до 01.06.2026,35,Пока нет ответственного партнера,,,
ТП-2026-012,Адаптивные бытовые изделия для людей с ОВЗ,Социальные технологии,Лаборатория промышленного дизайна и инжиниринга,Концепт / дизайн-кейсы,,,,"Описать линейку изделий, эффект и целевую аудиторию",ФПГ через НКО-партнера; пилот МИК; Росмолодежь,Следующий конкурс ФПГ / мониторинг,35,Нужен НКО-партнер,,,
ТП-2026-013,Цифровой двойник пациента для обучения медицинского и социального персонала,Медицинские технологии,Ганьшин В.К.,Идея / НИР,,,,Разделить проект на научную и продуктовую заявки,РНФ; ФСИ Старт-1; пилот МИК,РНФ до 22.05.2026; Старт-1 до 01.06.2026,30,Требуется научная гипотеза и данные,,,
ТП-2026-014,Полигон X - учебно-тренировочный комплекс для отработки тактических действий в VR,Специальный инжиниринг,Ганьшин В.К.,Концепт / демо,,,,Сформулировать гражданский сценарий безопасности и закрытый контур ТЗ,Контрактный НИОКР; ФСИ только при гражданском сценарии,Контрактный контур,40,Высокая чувствительность тематики,,,
ТП-2026-015,Разработка тактического рюкзака для саперов,Специальный инжиниринг,Алхасова Р.З.,Прототипирование,,,,"Собрать требования, эскизы, материалы и оценку себестоимости",Контрактный НИОКР; индустриальный партнер,Контрактный контур,0,Нужен официальный заказчик,,,
ТП-2026-016,Педагогическое исследование эффективности образования с применением нейрошлемов,Образовательные исследования,Ганьшин В.К.,НИР / методика,,,,"Описать дизайн исследования, выборку, этику и публикационный план",РНФ; внутренний НИР; партнерская заявка,РНФ до 22.05.2026 или 15.10.2026,40,Нужен научный руководитель/лаборатория,,,
ТП-2026-017,Цифровая мода и интеллектуальные аксессуары,Компьютерная графика и цифровой контент,Лаборатория промышленного дизайна и инжиниринга,Концепт,,,,Собрать визуальную концепцию и партнеров в моде/культуре,ПФКИ 2027; Новатор Москвы; креативные индустрии,ПФКИ до 30.06.2026,30,Пока нет ясного продукта,,,
ТП-2026-018,Компьютерные игры и мобильные приложения для социализации молодежи,Искусственный интеллект,Ганьшин В.К.,Идея / образовательный MVP,,,,Выбрать один игровой сценарий и целевую аудиторию,Росмолодежь.Гранты; Студенческий стартап; ФПГ,Мониторинг молодежного окна,30,Нужен MVP или прототип,,,
ТП-2026-019,"Боевая робототехника - проектирование роботов весом до 1,5 кг",Робототехника и БАС,Ганьшин В.К. / Рекут А.В.,Образовательная программа / прототипы,,,,Переупаковать как инженерные соревнования и образовательный трек,Гранты Первых; Росмолодежь; контракт с партнерами,Мониторинг молодежного окна,55,Снять лишнюю военную терминологию для грантов,,,
ТП-2026-020,Технология дистанционной очистки местности от ВОП с применением БАС-РТК,Робототехника и БАС,Д.Ю. Захарчук,НИОКР / концепт,,,,Отделить исследовательскую часть от закрытой прикладной части,Контрактный НИОКР; спецконтур,Контрактный контур,35,Не подавать в публичный грант без переработки,,,
ТП-2026-021,Катушка для саперного провода,Специальный инжиниринг,Д.Ю. Захарчук,Прототипирование,,,,"Сделать паспорт изделия, расчет материалов и фото прототипа",Контрактный НИОКР; индустриальный партнер,Контрактный контур,40,Нужна проверка требований,,,
ТП-2026-022,Мультитул для саперных задач,Специальный инжиниринг,Д.Ю. Захарчук,Прототипирование,,,,"Подготовить дизайн-концепт, эргономику и смету изготовления",Контрактный НИОКР; индустриальный партнер,Контрактный контур,40,Нужен заказчик,,,
ТП-2026-023,Учебные макеты инженерных изделий и безопасных демонстрационных образцов,Специальный инжиниринг,Д.Ю. Захарчук,Производственная услуга,,,,Переименовать и описать как безопасные учебные макеты,Контракт; образовательные поставки; музейный контур,Контрактный контур,45,Важно корректно описывать предмет,,,
ТП-2026-024,VR-тренажер кризисной коммуникации для социальных служб,VR/AR/MR,Ганьшин В.К.,Идея / сценарии,,,,"Подготовить сценарии диалогов, метрики эффекта и партнера",ФПГ; пилот МИК; РНФ,РНФ до 22.05.2026,35,Нужна методика оценки,,,
ТП-2026-025,ИИ-помощник преподавателя технических дисциплин,Искусственный интеллект,Ганьшин В.К.,MVP / методика,,,,"Собрать demo, сценарии уроков и список функций",ФСИ Старт-1; Студенческий стартап; Росмолодежь,Старт-1 до 01.06.2026,14,Нужна демонстрация продукта,,,
ТП-2026-026,Платформа цифрового портфолио инженерных проектов школьников и студентов,Искусственный интеллект,Ганьшин В.К.,MVP / образовательный сервис,,,,"Описать пользовательский путь, школы-пилоты и метрики охвата",Росмолодежь.Гранты; Гранты Первых; ФСИ Старт-1,Старт-1 до 01.06.2026,45,Нужны письма школ,,,
ТП-2026-027,Конструктор параметрических изделий для 3D-печати,Аддитивные технологии,Ганьшин В.К.,MVP / цифровой продукт,,,,Показать генератор параметрической модели и сценарий коммерциализации,ФСИ Старт-1; Студенческий стартап; Новатор Москвы,Новатор Москвы до 05.05.2026; Старт-1 до 01.06.2026,40,Нужен работающий демо-сценарий,,,
ТП-2026-028,Молодежные ИИ- и VR-интенсивы,Искусственный интеллект,Лаборатория CS/AI,Готовая образовательная программа,,,,Упаковать как серию мероприятий с измеримым охватом,Росмолодежь.Гранты; Гранты Первых,Мониторинг молодежного окна,60,Нужен календарь и смета,,,
ТП-2026-029,Аддитивные технологии и скульптуры,Специальный инжиниринг,Лаборатория промышленного дизайна и инжиниринга,Готовая образовательная программа,,,,Упаковать как серию мероприятий с измеримым охватом,Росмолодежь.Гранты; Гранты Первых,Мониторинг молодежного окна,60,Нужен календарь и смета,,,
ТП-2026-030,Разработка мерча и сувенирной продукции для колледжа МЕДСИ,Специальный инжиниринг,Ганьшин В.К.,Готовая образовательная программа,,,,Подписать договор,Контрактный НИОКР; индустриальный партнер,Мониторинг молодежного окна,25.0,Нужен календарь и смета,,,
ТП-2026-031," Система защиты ног саперов ""Паучья нога""",Специальный инжиниринг,Ганьшин В.К.,Готовая образовательная программа,,,,Необходимо провести испытания,Контрактный НИОКР; индустриальный партнер,Мониторинг молодежного окна,90.0,Нужен календарь и смета,,,
ТП-2026-032,Специализированные саперские подошвы,Специальный инжиниринг,Ганьшин В.К.,Готовая образовательная программа,,,,Необходимо провести испытания,Контрактный НИОКР; индустриальный партнер,Мониторинг молодежного окна,1.0,Нужен календарь и смета,,,
ТП-2026-033,"Обучение БПЛА в рамках проекты ""Кадры""",ДПО,Ганьшин В.К.,-,,,,,Нацпроект «Кадры» / образовательные субсидии и конкурсы,-,100.0,Обучение запущенно ,,,
ТП-2026-034,"Обучение цифровой метрологии в рамках проекты ""Кадры""",ДПО,Ганьшин В.К.,-,,,,,Нацпроект «Кадры» / образовательные субсидии и конкурсы,-,25.0,Рабочая программа на утверждении. Собираем письма от работодателей,,,
ТП-2026-035,"Обучение ИИ в рамках проекты ""Кадры""",ДПО,Ганьшин В.К.,-,,,,,Нацпроект «Кадры» / образовательные субсидии и конкурсы,-,100.0,Рабочая программа на утверждении,,,
ТП-2026-036,Разработка и производства кубка Спортакиады Союза теотральных деятелей РФ,Специальный инжиниринг,Ганьшин В.К.,-,,,,,-,-,100.0,Рабочая программа на утверждении,,,
ТП-2026-037,Инженерный класс в московской школе,Профориентационные интенсивы,Ганьшин В.К.,Заявки готовы к подаче,,,,,Гранты ДОиН г. Москвы,-,100.0,,,,
ТП-2026-038,Студенческое конструкторское бюро (СКБ),Специальный инжиниринг,А.В. Рекут,,,,,,Гранты Министерсва науки и высшего образования РФ,-,25.0,,,,
ТП-2026-039,Творческая мастерская при технопарке РГСУ,Специальный инжиниринг,Лаборатория промышленного дизайна и инжиниринга,,,,,,Внутренний проект технопарка,-,1.0,,,,
ТП-2026-040,Гимназия Петра Великого. Операторы трехмерной печати,ДПО / Аддитивные технологии,Лаборатория промышленного дизайна и инжиниринга,,,,,,Гимназия,-,18.0,,,,
ТП-2026-040,Создание реквизита для ВГИКа,Специальный инжиниринг,Ганьшин В.К.,,,,,,,-,1.0,,,,
